	reactions	name	reaction	gene reaction rule	subsystem	spontaneous	proteomic evidence (#studies)	references	notes
22	FACOAE_18_9E	Acyl CoA thioesterase (CoA 18:1(9E))	FAcoa_hs_18_9E_c + h2o_c --> FA_hs_18_9E_c + coa_c + h_c	ACOT7 or MBLAC2	Acyl-CoA hydrolysis	0	ACOT7 (11);MBLAC2 (9)
23	FACOAE_18_9Z	Acyl CoA thioesterase (CoA 18:1(9Z))	FAcoa_hs_18_9Z_c + h2o_c --> FA_hs_18_9Z_c + coa_c + h_c	ACOT7 or MBLAC2	Acyl-CoA hydrolysis	0	ACOT7 (11);MBLAC2 (9)
24	FACOAE_18_9Z12Z	Acyl CoA thioesterase (CoA 18:2(9Z,12Z))	FAcoa_hs_18_9Z12Z_c + h2o_c --> FA_hs_18_9Z12Z_c + coa_c + h_c	ACOT7 or MBLAC2	Acyl-CoA hydrolysis	0	ACOT7 (11);MBLAC2 (9)
25	FACOAE_18_9Z12Z15Z	Acyl CoA thioesterase (CoA 18:3(9Z,12Z,15Z))	FAcoa_hs_18_9Z12Z15Z_c + h2o_c --> FA_hs_18_9Z12Z15Z_c + coa_c + h_c	ACOT7 or MBLAC2	Acyl-CoA hydrolysis	0	ACOT7 (11);MBLAC2 (9)
26	FACOAE_19_0	Acyl CoA thioesterase (CoA 19:0)	FAcoa_hs_19_0_c + h2o_c --> FA_hs_19_0_c + coa_c + h_c	ACOT7 or MBLAC2	Acyl-CoA hydrolysis	0	ACOT7 (11);MBLAC2 (9)
27	FACOAE_20_0	Acyl CoA thioesterase (CoA 20:0)	FAcoa_hs_20_0_c + h2o_c --> FA_hs_20_0_c + coa_c + h_c	ACOT7 or MBLAC2	Acyl-CoA hydrolysis	0	ACOT7 (11);MBLAC2 (9)
28	FACOAE_20_11Z	Acyl CoA thioesterase (CoA 20:1(11Z))	FAcoa_hs_20_11Z_c + h2o_c --> FA_hs_20_11Z_c + coa_c + h_c	ACOT7 or MBLAC2	Acyl-CoA hydrolysis	0	ACOT7 (11);MBLAC2 (9)
29	FACOAE_20_11Z14Z	Acyl CoA thioesterase (CoA 20:2(11Z,14Z))	FAcoa_hs_20_11Z14Z_c + h2o_c --> FA_hs_20_11Z14Z_c + coa_c + h_c	ACOT7 or MBLAC2	Acyl-CoA hydrolysis	0	ACOT7 (11);MBLAC2 (9)
30	FACOAE_20_11Z14Z17Z	Acyl CoA thioesterase (CoA 20:3(11Z,14Z,17Z))	FAcoa_hs_20_11Z14Z17Z_c + h2o_c --> FA_hs_20_11Z14Z17Z_c + coa_c + h_c	ACOT7 or MBLAC2	Acyl-CoA hydrolysis	0	ACOT7 (11);MBLAC2 (9)
31	FACOAE_20_13Z	Acyl CoA thioesterase (CoA 20:1(13Z))	FAcoa_hs_20_13Z_c + h2o_c --> FA_hs_20_13Z_c + coa_c + h_c	ACOT7 or MBLAC2	Acyl-CoA hydrolysis	0	ACOT7 (11);MBLAC2 (9)
32	FACOAE_20_5Z8Z11Z	Acyl CoA thioesterase (CoA 20:3(5Z,8Z,11Z))	FAcoa_hs_20_5Z8Z11Z_c + h2o_c --> FA_hs_20_5Z8Z11Z_c + coa_c + h_c	ACOT7 or MBLAC2	Acyl-CoA hydrolysis	0	ACOT7 (11);MBLAC2 (9)
33	FACOAE_20_5Z8Z11Z14Z	Acyl CoA thioesterase (CoA 20:4(5Z,8Z,11Z,14Z))	FAcoa_hs_20_5Z8Z11Z14Z_c + h2o_c --> FA_hs_20_5Z8Z11Z14Z_c + coa_c + h_c	ACOT7 or MBLAC2	Acyl-CoA hydrolysis	0	ACOT7 (11);MBLAC2 (9)
34	FACOAE_20_5Z8Z11Z14Z17Z	Acyl CoA thioesterase (CoA 20:5(5Z,8Z,11Z,14Z,17Z))	FAcoa_hs_20_5Z8Z11Z14Z17Z_c + h2o_c --> FA_hs_20_5Z8Z11Z14Z17Z_c + coa_c + h_c	ACOT7 or MBLAC2	Acyl-CoA hydrolysis	0	ACOT7 (11);MBLAC2 (9)
35	FACOAE_20_8Z11Z	Acyl CoA thioesterase (CoA 20:2(8Z,11Z))	FAcoa_hs_20_8Z11Z_c + h2o_c --> FA_hs_20_8Z11Z_c + coa_c + h_c	ACOT7 or MBLAC2	Acyl-CoA hydrolysis	0	ACOT7 (11);MBLAC2 (9)
36	FACOAE_20_8Z11Z14Z	Acyl CoA thioesterase (CoA 20:3(8Z,11Z,14Z))	FAcoa_hs_20_8Z11Z14Z_c + h2o_c --> FA_hs_20_8Z11Z14Z_c + coa_c + h_c	ACOT7 or MBLAC2	Acyl-CoA hydrolysis	0	ACOT7 (11);MBLAC2 (9)
37	FACOAE_20_8Z11Z14Z17Z	Acyl CoA thioesterase (CoA 20:4(8Z,11Z,14Z,17Z))	FAcoa_hs_20_8Z11Z14Z17Z_c + h2o_c --> FA_hs_20_8Z11Z14Z17Z_c + coa_c + h_c	ACOT7 or MBLAC2	Acyl-CoA hydrolysis	0	ACOT7 (11);MBLAC2 (9)
38	FACOAE_20_9Z	Acyl CoA thioesterase (CoA 20:1(9Z))	FAcoa_hs_20_9Z_c + h2o_c --> FA_hs_20_9Z_c + coa_c + h_c	ACOT7 or MBLAC2	Acyl-CoA hydrolysis	0	ACOT7 (11);MBLAC2 (9)
39	FACOAE_21_0	Acyl CoA thioesterase (CoA 21:0)	FAcoa_hs_21_0_c + h2o_c --> FA_hs_21_0_c + coa_c + h_c		Acyl-CoA hydrolysis	0			GAPFILLING
40	FACOAE_22_0	Acyl CoA thioesterase (CoA 22:0)	FAcoa_hs_22_0_c + h2o_c --> FA_hs_22_0_c + coa_c + h_c		Acyl-CoA hydrolysis	0			GAPFILLING
41	FACOAE_22_10Z13Z16Z	Acyl CoA thioesterase (CoA 22:3(10Z,13Z,16Z))	FAcoa_hs_22_10Z13Z16Z_c + h2o_c --> FA_hs_22_10Z13Z16Z_c + coa_c + h_c		Acyl-CoA hydrolysis	0			GAPFILLING
42	FACOAE_22_10Z13Z16Z19Z	Acyl CoA thioesterase (CoA 22:4(10Z,13Z,16Z,19Z))	FAcoa_hs_22_10Z13Z16Z19Z_c + h2o_c --> FA_hs_22_10Z13Z16Z19Z_c + coa_c + h_c		Acyl-CoA hydrolysis	0			GAPFILLING
43	FACOAE_22_11Z	Acyl CoA thioesterase (CoA 22:1(11Z))	FAcoa_hs_22_11Z_c + h2o_c --> FA_hs_22_11Z_c + coa_c + h_c		Acyl-CoA hydrolysis	0			GAPFILLING
44	FACOAE_22_13Z	Acyl CoA thioesterase (CoA 22:1(13Z))	FAcoa_hs_22_13Z_c + h2o_c --> FA_hs_22_13Z_c + coa_c + h_c		Acyl-CoA hydrolysis	0			GAPFILLING
45	FACOAE_22_13Z16Z	Acyl CoA thioesterase (CoA 22:2(13Z,16Z))	FAcoa_hs_22_13Z16Z_c + h2o_c --> FA_hs_22_13Z16Z_c + coa_c + h_c		Acyl-CoA hydrolysis	0			GAPFILLING
46	FACOAE_22_13Z16Z19Z	Acyl CoA thioesterase (CoA 22:3(13Z,16Z,19Z))	FAcoa_hs_22_13Z16Z19Z_c + h2o_c --> FA_hs_22_13Z16Z19Z_c + coa_c + h_c		Acyl-CoA hydrolysis	0			GAPFILLING
47	FACOAE_22_4Z7Z10Z13Z16Z	Acyl CoA thioesterase (CoA 22:5(4Z,7Z,10Z,13Z,16Z))	FAcoa_hs_22_4Z7Z10Z13Z16Z_c + h2o_c --> FA_hs_22_4Z7Z10Z13Z16Z_c + coa_c + h_c		Acyl-CoA hydrolysis	0			GAPFILLING
48	FACOAE_22_4Z7Z10Z13Z16Z19Z	Acyl CoA thioesterase (CoA 22:6(4Z,7Z,10Z,13Z,16Z,19Z))	FAcoa_hs_22_4Z7Z10Z13Z16Z19Z_c + h2o_c --> FA_hs_22_4Z7Z10Z13Z16Z19Z_c + coa_c + h_c		Acyl-CoA hydrolysis	0			GAPFILLING
49	FACOAE_22_7Z10Z13Z16Z	Acyl CoA thioesterase (CoA 22:4(7Z,10Z,13Z,16Z))	FAcoa_hs_22_7Z10Z13Z16Z_c + h2o_c --> FA_hs_22_7Z10Z13Z16Z_c + coa_c + h_c		Acyl-CoA hydrolysis	0			GAPFILLING
50	FACOAE_22_7Z10Z13Z16Z19Z	Acyl CoA thioesterase (CoA 22:5(7Z,10Z,13Z,16Z,19Z))	FAcoa_hs_22_7Z10Z13Z16Z19Z_c + h2o_c --> FA_hs_22_7Z10Z13Z16Z19Z_c + coa_c + h_c		Acyl-CoA hydrolysis	0			GAPFILLING
51	FACOAE_23_0	Acyl CoA thioesterase (CoA 23:0)	FAcoa_hs_23_0_c + h2o_c --> FA_hs_23_0_c + coa_c + h_c		Acyl-CoA hydrolysis	0			GAPFILLING
52	FACOAE_24_0	Acyl CoA thioesterase (CoA 24:0)	FAcoa_hs_24_0_c + h2o_c --> FA_hs_24_0_c + coa_c + h_c		Acyl-CoA hydrolysis	0			GAPFILLING
53	FACOAE_24_12Z15Z18Z21Z	Acyl CoA thioesterase (CoA 24:4(12Z,15Z,18Z,21Z))	FAcoa_hs_24_12Z15Z18Z21Z_c + h2o_c --> FA_hs_24_12Z15Z18Z21Z_c + coa_c + h_c		Acyl-CoA hydrolysis	0			GAPFILLING
54	FACOAE_24_15Z	Acyl CoA thioesterase (CoA 24:1(15Z))	FAcoa_hs_24_15Z_c + h2o_c --> FA_hs_24_15Z_c + coa_c + h_c		Acyl-CoA hydrolysis	0			GAPFILLING
55	FACOAE_24_6Z9Z12Z15Z18Z	Acyl CoA thioesterase (CoA 24:5(6Z,9Z,12Z,15Z,18Z))	FAcoa_hs_24_6Z9Z12Z15Z18Z_c + h2o_c --> FA_hs_24_6Z9Z12Z15Z18Z_c + coa_c + h_c		Acyl-CoA hydrolysis	0			GAPFILLING
56	FACOAE_24_6Z9Z12Z15Z18Z21Z	Acyl CoA thioesterase (CoA 24:6(6Z,9Z,12Z,15Z,18Z,21Z))	FAcoa_hs_24_6Z9Z12Z15Z18Z21Z_c + h2o_c --> FA_hs_24_6Z9Z12Z15Z18Z21Z_c + coa_c + h_c		Acyl-CoA hydrolysis	0			GAPFILLING
57	FACOAE_24_9Z12Z15Z18Z	Acyl CoA thioesterase (CoA 24:4(9Z,12Z,15Z,18Z))	FAcoa_hs_24_9Z12Z15Z18Z_c + h2o_c --> FA_hs_24_9Z12Z15Z18Z_c + coa_c + h_c		Acyl-CoA hydrolysis	0			GAPFILLING
58	FACOAE_24_9Z12Z15Z18Z21Z	Acyl CoA thioesterase (CoA 24:5(9Z,12Z,15Z,18Z,21Z))	FAcoa_hs_24_9Z12Z15Z18Z21Z_c + h2o_c --> FA_hs_24_9Z12Z15Z18Z21Z_c + coa_c + h_c		Acyl-CoA hydrolysis	0			GAPFILLING
59	FACOAE_26_0	Acyl CoA thioesterase (CoA 26:0)	FAcoa_hs_26_0_c + h2o_c --> FA_hs_26_0_c + coa_c + h_c		Acyl-CoA hydrolysis	0			GAPFILLING
60	FACOAE_26_17Z	Acyl CoA thioesterase (CoA 26:1(17Z))	FAcoa_hs_26_17Z_c + h2o_c --> FA_hs_26_17Z_c + coa_c + h_c		Acyl-CoA hydrolysis	0			GAPFILLING
61	FACOAE_2_0	Acyl CoA thioesterase (CoA 2:0)	accoa_c + h2o_c --> ac_c + coa_c + h_c		Acyl-CoA hydrolysis	0		pubmed:6115779
62	FACOAE_3_0	Acyl CoA thioesterase (CoA 3:0)	h2o_c + ppcoa_c --> coa_c + h_c + ppa_c		Acyl-CoA hydrolysis	0			GAPFILLING
63	FACOAE_4_0	Acyl CoA thioesterase (CoA 4:0)	btcoa_c + h2o_c --> but_c + coa_c + h_c		Acyl-CoA hydrolysis	0			GAPFILLING
64	FACOAE_5_0	Acyl CoA thioesterase (CoA 5:0)	FAcoa_hs_5_0_c + h2o_c --> coa_c + h_c + pta_c		Acyl-CoA hydrolysis	0			GAPFILLING
65	FACOAE_6_0	Acyl CoA thioesterase (CoA 6:0)	FAcoa_hs_6_0_c + h2o_c --> coa_c + h_c + hxa_c		Acyl-CoA hydrolysis	0			GAPFILLING
66	FACOAE_7_0	Acyl CoA thioesterase (CoA 7:0)	FAcoa_hs_7_0_c + h2o_c --> coa_c + h_c + hpta_c		Acyl-CoA hydrolysis	0			GAPFILLING
67	FACOAE_8_0	Acyl CoA thioesterase (CoA 8:0)	FAcoa_hs_8_0_c + h2o_c --> coa_c + h_c + octa_c	ACOT7	Acyl-CoA hydrolysis	0	ACOT7 (11)	pubmed:10578051;pubmed:5042454
68	FACOAE_9_0	Acyl CoA thioesterase (CoA 9:0)	FAcoa_hs_9_0_c + h2o_c --> coa_c + h_c + nona_c	ACOT7	Acyl-CoA hydrolysis	0	ACOT7 (11)	pubmed:10578051;pubmed:5042454
69	2ABUTTA	(S)-2-aminobutanoate transaminase	2abut_c + akg_c <=> 2obut_c + glu__L_c	GOT1	Alanine, aspartate and glutamate metabolism	0	GOT1 (17)	pubmed:24636780
70	ALATA_L	L-alanine transaminase	akg_c + ala__L_c <=> glu__L_c + pyr_c	GPT	Alanine, aspartate and glutamate metabolism	0	GPT (2)	pubmed:20498365;pubmed:28263177;pubmed:6112873;pubmed:6934695
71	ASNTA	L-asparagine transaminase	akg_c + asn__L_c --> 2oxosucc_c + glu__L_c	PSAT1	Alanine, aspartate and glutamate metabolism	0	PSAT1 (6)	pubmed:27405778;pubmed:28373563;pubmed:35209187;pubmed:35834009	PSAT1 side activity may contribute to asparagine transamination (pubmed:35834009)
72	ASPTA	Aspartate transaminase	akg_c + asp__L_c <=> glu__L_c + oaa_c	GOT1	Alanine, aspartate and glutamate metabolism	0	GOT1 (17)	pubmed:6112873
73	GLNS	Glutamine synthetase	atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c	GLUL	Alanine, aspartate and glutamate metabolism	0	GLUL (8)	pubmed:6112873
74	GLUN	Glutaminase	gln__L_c + h2o_c --> glu__L_c + nh4_c		Alanine, aspartate and glutamate metabolism	0		pubmed:20498365;pubmed:24636780;pubmed:6112873
75	GOATA	L-glutamine transaminase	gln__L_c + oaa_c --> 2ogm_c + asp__L_c	PSAT1 or GOT1	Alanine, aspartate and glutamate metabolism	0	GOT1 (17);PSAT1 (6)	pubmed:27405778;pubmed:28373563;pubmed:35209187;pubmed:35834009	GOT1 and PSAT1 side activity may contribute to glutamine transamination (pubmed:35209187, pubmed:28373563)
76	L2HGDHx	L-2-hydroxyglutarate dehydrogenase	akg_c + h_c + nadh_c --> 2hglut__L_c + nad_c	LDHB or LDHA or PHGDH or MDH1 or (LDHA and LDHB)	Alanine, aspartate and glutamate metabolism	0	LDHA (18);LDHB (18);MDH1 (13);PHGDH (2)	pubmed:27813142;pubmed:31473074
77	OXOGAH	2-Oxoglutaramate amidohydrolase	2ogm_c + h2o_c --> akg_c + nh4_c	NIT2	Alanine, aspartate and glutamate metabolism	0	NIT2 (8)	pubmed:31473074
78	OXOSUCAH	2-Oxosuccinamate amidohydrolase	2oxosucc_c + h2o_c --> nh4_c + oaa_c	NIT2	Alanine, aspartate and glutamate metabolism	0	NIT2 (8)	pubmed:31473074
79	AC4OACNAMDC	N-acetyl-4-O-neuraminate O-acetylesterase	ac4oacnam_c + h2o_c --> ac_c + acnam_c + h_c	ESD	Amino sugar and nucleotide sugar metabolism	0	ESD (16)	pubmed:3456572;pubmed:3462728;pubmed:3770744
80	AC9OACNAMDC	N-acetyl-9-O-neuraminate O-acetylesterase	ac9oacnam_c + h2o_c --> ac_c + acnam_c + h_c	ESD	Amino sugar and nucleotide sugar metabolism	0	ESD (16)	pubmed:3456572;pubmed:3462728;pubmed:3770744
81	ACGAM2E	N-acetylglucosamine 2-epimerase	acgam_c <=> acmana_c		Amino sugar and nucleotide sugar metabolism	0			GAPFILLING
82	ACGAMK	N-acetylglucosamine kinase	acgam_c + atp_c --> acgam6p_c + adp_c + h_c	NAGK	Amino sugar and nucleotide sugar metabolism	0	NAGK (5)	pubmed:8982040
83	ACGAMPM	Acetylglucosamine phosphomutase	acgam6p_c <=> acgam1p_c	PGM3	Amino sugar and nucleotide sugar metabolism	0	PGM3 (2)	pubmed:4829444;pubmed:6450158
84	ACNAM9PL	N-Acetylneuraminate 9-phosphate pyruvate-lyase (pyruvate-phosphorylating)	acmanap_c + h2o_c + pep_c --> acnamp_c + pi_c	NANS	Amino sugar and nucleotide sugar metabolism	0	NANS (14)	pubmed:10749855
85	ACNAM9PL2	3-deoxy-D-glycero-D-galacto-nonulopyranosonate 9-phosphate synthase	h2o_c + man6p_c + pep_c --> kdnp_c + pi_c	NANS	Amino sugar and nucleotide sugar metabolism	0	NANS (14)	pubmed:10749855;pubmed:9765240
86	ACNAM9PL3	N-acetylneuraminate synthase	acmana_c + h2o_c + pep_c --> acnam_c + pi_c	NANS	Amino sugar and nucleotide sugar metabolism	0	NANS (14)	pubmed:10749855;pubmed:9765240
87	ACNAMPH	N-Acetylneuraminate 9-phosphate phosphohydrolase	acnamp_c + h2o_c --> acnam_c + pi_c	NANP	Amino sugar and nucleotide sugar metabolism	0	NANP (2)	pubmed:14235556
88	ACNML	N-Acetylneuraminate lyase	acnam_c <=> acmana_c + pyr_c	NPL	Amino sugar and nucleotide sugar metabolism	0	NPL (6)	pubmed:12765793
89	AGDC	N-acetylglucosamine-6-phosphate deacetylase	acgam6p_c + h2o_c --> ac_c + gam6p_c	AMDHD2	Amino sugar and nucleotide sugar metabolism	0		pubmed:8982040
90	AMANK	N-acetyl-D-mannosamine kinase	acmana_c + atp_c --> acmanap_c + adp_c + h_c	NAGK	Amino sugar and nucleotide sugar metabolism	0	NAGK (5)	pubmed:8982040
91	G6PDA	Glucosamine-6-phosphate deaminase	gam6p_c + h2o_c <=> f6p_c + nh4_c	GNPDA1 or GNPDA2	Amino sugar and nucleotide sugar metabolism	0	GNPDA1 (12);GNPDA2 (4)	pubmed:7577655
92	HEX10	Hexokinase (D-glucosamine:ATP)	atp_c + gam_c --> adp_c + gam6p_c + h_c	HK3 or HK1	Amino sugar and nucleotide sugar metabolism	0	HK1 (10);HK3 (2)	pubmed:12432216;pubmed:4421639;pubmed:9028305;pubmed:953036
93	KDNH	2-keto-3-deoxy-D-glycero-D-galactononic acid phosphohydrolase	h2o_c + kdnp_c --> kdn_c + pi_c		Amino sugar and nucleotide sugar metabolism	0		pubmed:9765240
94	UAG4E	UDP-N-acetylglucosamine 4-epimerase	uacgam_c <=> udpacgal_c	GALE	Amino sugar and nucleotide sugar metabolism	0	GALE (7)	doi:10.1016/0925-6164(93)90001-Y
95	ALATRS	L-Alanine:tRNA(Ala) ligase (AMP-forming)	ala__L_c + atp_c + trnaala_c --> alatrna_c + amp_c + ppi_c	AARS1	Aminoacyl-tRNA biosynthesis	0	AARS1 (12)	pubmed:19421340;pubmed:35976696
96	ARGTRS	L-Arginine:tRNA(Arg) ligase (AMP-forming)	arg__L_c + atp_c + trnaarg_c --> amp_c + argtrna_c + ppi_c	RARS1	Aminoacyl-tRNA biosynthesis	0	RARS1 (7)	pubmed:19421340;pubmed:35976696;pubmed:562050
97	ASNTRS	L-Asparagine:tRNA(Asn) ligase (AMP-forming)	asn__L_c + atp_c + trnaasn_c --> amp_c + asntrna_c + ppi_c	NARS1	Aminoacyl-tRNA biosynthesis	0	NARS1 (6)	pubmed:19421340;pubmed:35976696
98	ASPTRS	L-Aspartate:tRNA(Asp) ligase (AMP-forming)	asp__L_c + atp_c + trnaasp_c --> amp_c + asptrna_c + ppi_c	DARS1	Aminoacyl-tRNA biosynthesis	0	DARS1 (15)	pubmed:19421340;pubmed:35976696
99	CYSTRS	L-Cysteine:tRNA(Cys) ligase (AMP-forming)	atp_c + cys__L_c + trnacys_c --> amp_c + cystrna_c + ppi_c	CARS1	Aminoacyl-tRNA biosynthesis	0	CARS1 (9)	pubmed:19421340;pubmed:35976696
100	GLNTRS	L-Glutamine:tRNA(Gln) ligase (AMP-forming)	atp_c + gln__L_c + trnagln_c --> amp_c + glntrna_c + ppi_c	QARS1	Aminoacyl-tRNA biosynthesis	0	QARS1 (4)	pubmed:19421340;pubmed:35976696
101	GLUTRS	L-glutamate:tRNA(Glu) ligase (AMP-forming)	atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c	EPRS1	Aminoacyl-tRNA biosynthesis	0	EPRS1 (8)	pubmed:19421340;pubmed:35976696
102	GLYTRS	glycine:tRNA(Gly) ligase (AMP-forming)	atp_c + gly_c + trnagly_c --> amp_c + glytrna_c + ppi_c	GARS1	Aminoacyl-tRNA biosynthesis	0	GARS1 (3)	pubmed:19421340;pubmed:35976696
103	HISTRS	L-Histidine:tRNA(His) ligase (AMP-forming)	atp_c + his__L_c + trnahis_c --> amp_c + histrna_c + ppi_c	HARS1	Aminoacyl-tRNA biosynthesis	0	HARS1 (8)	pubmed:19421340;pubmed:35976696
104	ILETRS	L-Isoleucine:tRNA(Ile) ligase (AMP-forming)	atp_c + ile__L_c + trnaile_c --> amp_c + iletrna_c + ppi_c	IARS1	Aminoacyl-tRNA biosynthesis	0	IARS1 (1)
